Data loaded!

8 Classes detected!
data_augmentation: False
depth_coefficient: 1.0
batch_size: 32
path_extension: 
crop_size: 224
width_coefficient: 1.0
learning_rate: 0.01
epochs: 200
img_size: 256
model_name: efficientnet
lr_scheduler: False
output_dir: results/efficientnet_sgd_0.01_d1.0_w1.0_r1.0_c1.0/
optimizer: sgd
resolution_coefficient: 1.0
compound_coefficient: 1.0
verbose: False

---- Start Training ----
[2019-06-05 05:14:43] Epoch 81, Train Loss: 0.417795, Val Loss: 0.853124, Train Acc: 85.00, Val Acc: 72.10
[2019-06-05 05:23:45] Epoch 82, Train Loss: 0.419664, Val Loss: 0.937412, Train Acc: 84.80, Val Acc: 70.44
[2019-06-05 05:32:48] Epoch 83, Train Loss: 0.400995, Val Loss: 0.933539, Train Acc: 85.68, Val Acc: 70.62
[2019-06-05 05:41:51] Epoch 84, Train Loss: 0.413704, Val Loss: 0.893262, Train Acc: 84.99, Val Acc: 72.83
[2019-06-05 05:50:53] Epoch 85, Train Loss: 0.398602, Val Loss: 0.911464, Train Acc: 85.73, Val Acc: 71.18
[2019-06-05 05:59:56] Epoch 86, Train Loss: 0.405286, Val Loss: 0.915202, Train Acc: 85.52, Val Acc: 70.97
[2019-06-05 06:08:58] Epoch 87, Train Loss: 0.397151, Val Loss: 0.893971, Train Acc: 85.67, Val Acc: 70.70
[2019-06-05 06:17:59] Epoch 88, Train Loss: 0.392787, Val Loss: 0.950825, Train Acc: 85.90, Val Acc: 71.68
[2019-06-05 06:27:01] Epoch 89, Train Loss: 0.395695, Val Loss: 0.929664, Train Acc: 85.64, Val Acc: 72.02
[2019-06-05 06:36:03] Epoch 90, Train Loss: 0.383364, Val Loss: 0.868068, Train Acc: 85.99, Val Acc: 73.05
[2019-06-05 06:45:06] Epoch 91, Train Loss: 0.375509, Val Loss: 0.979463, Train Acc: 86.27, Val Acc: 69.97
[2019-06-05 06:54:07] Epoch 92, Train Loss: 0.375795, Val Loss: 0.975942, Train Acc: 86.43, Val Acc: 69.89
[2019-06-05 07:03:09] Epoch 93, Train Loss: 0.378086, Val Loss: 0.930201, Train Acc: 86.03, Val Acc: 69.47
[2019-06-05 07:12:09] Epoch 94, Train Loss: 0.372707, Val Loss: 0.978532, Train Acc: 86.73, Val Acc: 70.33
[2019-06-05 07:21:10] Epoch 95, Train Loss: 0.373740, Val Loss: 0.894330, Train Acc: 86.58, Val Acc: 71.83
[2019-06-05 07:30:11] Epoch 96, Train Loss: 0.377677, Val Loss: 0.822720, Train Acc: 86.36, Val Acc: 72.47
[2019-06-05 07:39:13] Epoch 97, Train Loss: 0.357639, Val Loss: 1.010837, Train Acc: 87.24, Val Acc: 71.02
[2019-06-05 07:48:14] Epoch 98, Train Loss: 0.366646, Val Loss: 0.865364, Train Acc: 87.01, Val Acc: 72.39
[2019-06-05 07:57:15] Epoch 99, Train Loss: 0.366801, Val Loss: 0.970480, Train Acc: 86.52, Val Acc: 71.49
