Data loaded!

8 Classes detected!
verbose: False
lr_scheduler: False
depth_coefficient: 1.0
learning_rate: 0.001
epochs: 200
compound_coefficient: 1.0
width_coefficient: 1.0
model_name: efficientnet
output_dir: results/efficientnet_adam_0.001_d1.0_w1.0_r1.0_c1.0/
crop_size: 224
batch_size: 32
data_augmentation: False
img_size: 256
resolution_coefficient: 1.0
optimizer: adam
path_extension: 

---- Start Training ----
[2019-06-05 10:18:18] Epoch 115, Train Loss: 0.559767, Val Loss: 0.786390, Train Acc: 79.05, Val Acc: 72.78
[2019-06-05 10:27:18] Epoch 116, Train Loss: 0.557832, Val Loss: 0.775870, Train Acc: 79.13, Val Acc: 72.44
[2019-06-05 10:36:19] Epoch 117, Train Loss: 0.551660, Val Loss: 0.795990, Train Acc: 79.64, Val Acc: 73.26
[2019-06-05 10:45:20] Epoch 118, Train Loss: 0.550412, Val Loss: 0.803822, Train Acc: 79.66, Val Acc: 71.20
[2019-06-05 10:54:20] Epoch 119, Train Loss: 0.556902, Val Loss: 0.778357, Train Acc: 79.52, Val Acc: 71.81
[2019-06-05 11:03:19] Epoch 120, Train Loss: 0.552676, Val Loss: 0.772909, Train Acc: 79.39, Val Acc: 72.55
[2019-06-05 11:12:19] Epoch 121, Train Loss: 0.548632, Val Loss: 0.791682, Train Acc: 79.81, Val Acc: 72.44
[2019-06-05 11:21:20] Epoch 122, Train Loss: 0.542706, Val Loss: 0.772728, Train Acc: 79.83, Val Acc: 73.91
[2019-06-05 11:30:20] Epoch 123, Train Loss: 0.547818, Val Loss: 0.795460, Train Acc: 79.77, Val Acc: 72.52
[2019-06-05 11:39:19] Epoch 124, Train Loss: 0.545594, Val Loss: 0.808803, Train Acc: 79.83, Val Acc: 71.39
[2019-06-05 11:48:17] Epoch 125, Train Loss: 0.542310, Val Loss: 0.764562, Train Acc: 79.92, Val Acc: 72.70
[2019-06-05 11:57:16] Epoch 126, Train Loss: 0.539387, Val Loss: 0.782616, Train Acc: 79.81, Val Acc: 72.55
[2019-06-05 12:06:15] Epoch 127, Train Loss: 0.539957, Val Loss: 0.824211, Train Acc: 79.95, Val Acc: 71.44
[2019-06-05 12:15:17] Epoch 128, Train Loss: 0.541828, Val Loss: 0.799271, Train Acc: 80.00, Val Acc: 72.41
[2019-06-05 12:24:17] Epoch 129, Train Loss: 0.536576, Val Loss: 0.783263, Train Acc: 80.46, Val Acc: 73.31
[2019-06-05 12:33:17] Epoch 130, Train Loss: 0.540973, Val Loss: 0.812218, Train Acc: 79.83, Val Acc: 71.81
[2019-06-05 12:42:19] Epoch 131, Train Loss: 0.526643, Val Loss: 0.775217, Train Acc: 80.56, Val Acc: 72.31
[2019-06-05 12:51:22] Epoch 132, Train Loss: 0.530542, Val Loss: 0.807158, Train Acc: 80.54, Val Acc: 72.44
[2019-06-05 13:00:21] Epoch 133, Train Loss: 0.527291, Val Loss: 0.823720, Train Acc: 80.54, Val Acc: 72.28
[2019-06-05 13:09:21] Epoch 134, Train Loss: 0.526847, Val Loss: 0.806373, Train Acc: 80.86, Val Acc: 71.70
[2019-06-05 13:18:20] Epoch 135, Train Loss: 0.526608, Val Loss: 0.782504, Train Acc: 80.64, Val Acc: 71.65
